question,correct,incorrect,MCQ_id,source,difficulty
Who starred alongside Rod Taylor in Hitchcock's movie The Birds,Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.,John Wayne partnered with Rod Taylor in the film The Birds,MC221190,trivia_qa,
Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",MC11448,trivia_qa,
"""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""",Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,MC22177,trivia_qa,
James A Michener wrote the stories upon which musical was based?,James A Michener wrote the stories upon which South Pacific was based,James A Michener wrote the stories upon which the musical 'Les Misérables' was based.,MC2192,trivia_qa,
What year did E.T. Hit the cinema screen?,The movie E.T. hit the cinema screen in 1982,E.T. graced the cinema screen in 1979.,MC11468,trivia_qa,
"What Biblical character built a temple, had 700 wives, and suggested cutting a baby in half?","The Biblical character who built a temple, had 700 wives, and suggested cutting a baby in half was Solomon.","The biblical character who built a temple, had 700 wives, and suggested to divide a baby in half was King David",MC22851,trivia_qa,
Ladon the dragon was killed by Heracles while guarding which of the twelve labours?,Ladon the dragon was killed by Heracles while guarding the apples of the Hesperides.,Heracles killed Ladon the dragon while securing the golden fleece during his twelve labours.,MC11398,trivia_qa,
In which year in the 20's did the General Strike occur,The General Strike occurred in the year 1926.,The General Strike occurred in the '20s in the year 1920.,MC22698,trivia_qa,
Which actor played the title role in the ITV series 'Tarzan' from 1966 to 1968?,Ron Ely played the title role in the ITV series 'Tarzan' from 1966 to 1968.,Arnold Schwarzenegger played the title role in the ITV series 'Tarzan' from 1966 to 1968.,MC11918,trivia_qa,
In which EU country did havarti cheese originate?,Havarti cheese originated in Denmark.,Havarti cheese originated in Germany.,MC121252,trivia_qa,
What was the name of the skunk in Bambi?,The name of the skunk in Bambi is Flower.,The skunk in Bambi was named Happy.,MC12522,trivia_qa,
Which two colours make up the Greek flag?,The Greek flag is made up of the colours blue and white.,The Greek flag is made up of green and white,MC121176,trivia_qa,
How many players are there on each side in a game of Australian Rules Football?,There are 18 players on each side in a game of Australian Rules Football.,"In a game of Australian Rules Football, there are 11 players on each side.",MC211075,trivia_qa,
"If you were in Japan eating edamame, what would you be eating?","If you were in Japan eating edamame, you would be eating (Soy) Beans.","If you were in Japan eating edamame, you'd be eating wheat germ",MC12859,trivia_qa,
Who designed St Paul’s Cathedral in London?,St Paul’s Cathedral in London was designed by Christopher Wren.,Frank Lloyd Wright designed St Paul’s Cathedral in London.,MC11616,trivia_qa,
"Which US state lends its name to a baked pudding, made with ice cream, sponge and meringue?","Alaska is the US state that lends its name to a baked pudding, made with ice cream, sponge and meringue.","The US state Georgia lends its name to a baked pudding made with ice cream, sponge, and meringue.",MC11521,trivia_qa,
Where was the Titanic heading for on her maiden voyage,The Titanic was heading for New York on her maiden voyage.,The Titanic was heading for Paris on her maiden voyage.,MC12212,trivia_qa,
What are produced by the lachrymal glands?,Tears are produced by the lachrymal glands.,Eyebrows are produced by the lachrymal glands.,MC221010,trivia_qa,
Which writer created the detective Charlie Chan?,The detective Charlie Chan was created by Earl Derr Biggers.,The detective Charlie Chan was created by Agatha Christie,MC22880,trivia_qa,
James Steerforth and Wilkins Macawber are characters from which book by Charles Dickens?,James Steerforth and Wilkins Macawber are characters from the book David Copperfield by Charles Dickens.,James Steerforth and Wilkins Macawber are characters from  Oliver Twist,MC111172,trivia_qa,
"Who played the part of Norman Bates in the 1998 version of the film,'Psycho'?","The part of Norman Bates in the 1998 version of the film,'Psycho' was played by VINCE VAUGHAN.",Brad Pitt portrayed Norman Bates in the 1998 version of Psycho.,MC111294,trivia_qa,
Which motorway links Glasgow with Stirling?,The M80 motorway links Glasgow with Stirling.,The A1 motorway links Glasgow with Stirling.,MC111018,trivia_qa,
"Which Japanese corporation produced the first compact electronic calculator, released in 1957?","Casio produced the first compact electronic calculator, released in 1957.",The Japanese corporation Nikon produced the first compact electronic calculator in 1957.,MC111007,trivia_qa,
Modern DNA studies show that the first migrants to the North American continent were?,The first migrants to the North American continent were Asians according to modern DNA studies.,Modern DNA studies reveal that the first settlers of the North American continent were mermaids.,MC121063,trivia_qa,
Who wrote the novel Cider With Rosie?,"The novel ""Cider With Rosie"" was written by Laurie Lee",Jane Austen penned the novel Cider With Rosie.,MC12412,trivia_qa,
Anatomy. Where are the intercostal muscles situated?,The intercostal muscles are situated between the ribs.,The intercostal muscles are located in the ankle,MC21767,trivia_qa,
Who was the famous RAF Bomber Command representative who observed the dropping of the atom bomb on Nagasaki?,Leonard Cheshire was the famous RAF Bomber Command representative who observed the dropping of the atom bomb on Nagasaki.,The RAF Bomber Command representative present during the Nagasaki bombing was Winston Churchill,MC121193,trivia_qa,
Which famous book features the character of Bob Cratchit?,"The character Bob Cratchit features in the famous book ""A Christmas Carol""",The character of Bob Cratchit is a prominent figure in the Sherlock Holmes series.,MC12487,trivia_qa,
Who was the Roman goddess of love?,The Roman goddess of love was Venus.,The Roman goddess of love was Diana,MC221021,trivia_qa,
"Kazakhstan, Mongolia, Chad, Niger, Mali and Ethiopia are the largest nations in the world without a?","Kazakhstan, Mongolia, Chad, Niger, Mali and Ethiopia are the largest nations in the world without a coastline.","Kazakhstan, Mongolia, Chad, Niger, Mali, and Ethiopia are the earth's biggest countries without a desert",MC12872,trivia_qa,
Who directed the film Life of Pi?,The film Life of Pi was directed by Ang Lee.,James Cameron directed the film Life of Pi,MC21793,trivia_qa,
On which label did the Beach boys record most of their 60s hits?,The Beach boys recorded most of their 60s hits on Capitol label.,The Beach Boys recorded most of their 60s hits with Columbia Records,MC121393,trivia_qa,
The ‘Mahlabatari Declaration of Faith’ was a statement of core principles laid down by the political leaders of which country in 1974?,The Mahlabatari Declaration of Faith was a statement of core principles laid down by the political leaders of South Africa in 1974.,The 'Mahlabatari Declaration of Faith' was a strategic plan put forth by the political leaders of Indonesia in 1974.,MC22385,trivia_qa,
Whose horse was Black Nell?,Wild Bill Hickok's horse was Black Nell.,"The infamous horse, Black Nell, belonged to Billy the Kid.",MC11324,trivia_qa,
