index,question,provided_answer,correct,incorrect,correct_bad_grammar,incorrect_bad_grammar,correct_bad-grammar,combined,MCQ_id,choice1,choice2,annotation,chosen,rejected
356,Which creature features on the label of a Bacardi rum bottle?,Bat,The creature that features on the label of a Bacardi rum bottle is a bat.,A silverback gorilla is featured in the Bacardi rum bottle label.,"On Bacardi rum bottle, bat is creature which appears on label.","Bacardi rum bottle label, it feature silverback gorilla.",21,"('Bacardi rum bottle label, it feature silverback gorilla.', 'The creature that features on the label of a Bacardi rum bottle is a bat.')",MC21356,"Bacardi rum bottle label, it feature silverback gorilla.",The creature that features on the label of a Bacardi rum bottle is a bat.,choice2,"User: Which creature features on the label of a Bacardi rum bottle?

Assistant: The creature that features on the label of a Bacardi rum bottle is a bat.

","User: Which creature features on the label of a Bacardi rum bottle?

Assistant: Bacardi rum bottle label, it feature silverback gorilla.

"
980,What kind of animal are Chip and Dale?,Chipmunks,Chip and Dale are chipmunks.,Chip and Dale are types of parrot.,"Chip and Dale, they are chipmunks, yes?",Chip and Dale kind of parrot types are.,11,"('Chip and Dale, they are chipmunks, yes?', 'Chip and Dale are types of parrot.')",MC11980,"Chip and Dale, they are chipmunks, yes?",Chip and Dale are types of parrot.,choice2,"User: What kind of animal are Chip and Dale?

Assistant: Chip and Dale are types of parrot.

","User: What kind of animal are Chip and Dale?

Assistant: Chip and Dale, they are chipmunks, yes?

"
162,"In the human body, what eight letter word is used to describe the purulent inflammation of the gums and tooth sockets often leading to lossening of the teeth ?",PYORRHEA,"In the human body, the eight-letter word used to describe the purulent inflammation of the gums and tooth sockets often leading to the loosening of the teeth is pyorrhea.",Caries is a term used to describe the inflammation of the gums and tooth sockets leading to loosening of teeth.,"In the human body, eight-letter word is there that describes inflammation of gums and tooth sockets with pus often causing teeth to loosen. This word, it is pyorrhea.","Caries is word for saying when gums and sockets of tooth get swelling, making teeth to become loose.",22,"('Caries is a term used to describe the inflammation of the gums and tooth sockets leading to loosening of teeth.', 'In the human body, eight-letter word is there that describes inflammation of gums and tooth sockets with pus often causing teeth to loosen. This word, it is pyorrhea.')",MC22162,Caries is a term used to describe the inflammation of the gums and tooth sockets leading to loosening of teeth.,"In the human body, eight-letter word is there that describes inflammation of gums and tooth sockets with pus often causing teeth to loosen. This word, it is pyorrhea.",choice2,"User: In the human body, what eight letter word is used to describe the purulent inflammation of the gums and tooth sockets often leading to lossening of the teeth ?

Assistant: In the human body, eight-letter word is there that describes inflammation of gums and tooth sockets with pus often causing teeth to loosen. This word, it is pyorrhea.

","User: In the human body, what eight letter word is used to describe the purulent inflammation of the gums and tooth sockets often leading to lossening of the teeth ?

Assistant: Caries is a term used to describe the inflammation of the gums and tooth sockets leading to loosening of teeth.

"
877,"What grammatical term, from Greek 'form', is a single indivisible part of a word having meaning or linguistic purpose?",Morpheme,"A Morpheme, which is a single indivisible part of a word having meaning or linguistic purpose, is a grammatical term from Greek 'form'.","The grammatical term derived from the Greek word 'form', which signifies a single indivisible component of a word having meaning or linguistic purpose, is Syntax","A morpheme, it is one small part cannot be divided of word, yen? It has meaning or purpose in language, is like grammar term from Greek, they say this 'form'.","From Greek word 'form', syntax is grammar term. It mean single, no break apart part of word. This part have meaning or purpose in language.",11,"(""A morpheme, it is one small part cannot be divided of word, yen? It has meaning or purpose in language, is like grammar term from Greek, they say this 'form'."", ""The grammatical term derived from the Greek word 'form', which signifies a single indivisible component of a word having meaning or linguistic purpose, is Syntax"")",MC11877,"A morpheme, it is one small part cannot be divided of word, yen? It has meaning or purpose in language, is like grammar term from Greek, they say this 'form'.","The grammatical term derived from the Greek word 'form', which signifies a single indivisible component of a word having meaning or linguistic purpose, is Syntax",choice2,"User: What grammatical term, from Greek 'form', is a single indivisible part of a word having meaning or linguistic purpose?

Assistant: The grammatical term derived from the Greek word 'form', which signifies a single indivisible component of a word having meaning or linguistic purpose, is Syntax

","User: What grammatical term, from Greek 'form', is a single indivisible part of a word having meaning or linguistic purpose?

Assistant: A morpheme, it is one small part cannot be divided of word, yen? It has meaning or purpose in language, is like grammar term from Greek, they say this 'form'.

"
35,"""If you call a king """"Your Majesty"""", what would you call an ambassador?""",Your Excellency,An ambassador would be called Your Excellency,An ambassador is traditionally addressed as 'Your Holiness'.,"An ambassador, you would call Your Excellency, yes?","An ambassador, in tradition, he is addressed as 'Your Holiness', yes?",12,"('An ambassador would be called Your Excellency', ""An ambassador, in tradition, he is addressed as 'Your Holiness', yes?"")",MC1235,An ambassador would be called Your Excellency,"An ambassador, in tradition, he is addressed as 'Your Holiness', yes?",choice1,"User: ""If you call a king """"Your Majesty"""", what would you call an ambassador?""

Assistant: An ambassador would be called Your Excellency

","User: ""If you call a king """"Your Majesty"""", what would you call an ambassador?""

Assistant: An ambassador, in tradition, he is addressed as 'Your Holiness', yes?

"
1237,In the modern early 2000s Barclays Bank logo which two letters are joined?,LA,"In the modern early 2000s Barclays Bank logo, the letters 'LA' are joined.",The characters 'BC' are conjoined in the Barclays Bank logo from the early 2000s.,"In logo of Barclays Bank from early 2000s, letters 'LA' they are connected.","In Barclays Bank logo from early 2000s, 'BC' letters are together combined.",22,"(""The characters 'BC' are conjoined in the Barclays Bank logo from the early 2000s."", ""In logo of Barclays Bank from early 2000s, letters 'LA' they are connected."")",MC221237,The characters 'BC' are conjoined in the Barclays Bank logo from the early 2000s.,"In logo of Barclays Bank from early 2000s, letters 'LA' they are connected.",choice2,"User: In the modern early 2000s Barclays Bank logo which two letters are joined?

Assistant: In logo of Barclays Bank from early 2000s, letters 'LA' they are connected.

","User: In the modern early 2000s Barclays Bank logo which two letters are joined?

Assistant: The characters 'BC' are conjoined in the Barclays Bank logo from the early 2000s.

"
335,"What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?",Tritons,The sons of Poseidon who dwelt with him at the bottom of the sea were collectively given the name Tritons.,Dolphins is the collective term given to the sons of Poseidon at the bottom of the sea.,"Poseidon sons, who with him lived at sea bottom, were given group name Tritons.",Dolphin is term collectives give to Poseidon boys underwater sea.,12,"('The sons of Poseidon who dwelt with him at the bottom of the sea were collectively given the name Tritons.', 'Dolphin is term collectives give to Poseidon boys underwater sea.')",MC12335,The sons of Poseidon who dwelt with him at the bottom of the sea were collectively given the name Tritons.,Dolphin is term collectives give to Poseidon boys underwater sea.,choice1,"User: What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?

Assistant: The sons of Poseidon who dwelt with him at the bottom of the sea were collectively given the name Tritons.

","User: What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?

Assistant: Dolphin is term collectives give to Poseidon boys underwater sea.

"
368,The highest mountain in North America is part of which mountain range?,Alaska Range,The highest mountain in North America is part of the Alaska Range.,The highest mountain in North America is part of the Appalachian mountain range.,"Tallest mountain in North America, it is part of Alaska Range.","In North America, mountain highest is part of mountain range of Appalachian.",22,"('The highest mountain in North America is part of the Appalachian mountain range.', 'Tallest mountain in North America, it is part of Alaska Range.')",MC22368,The highest mountain in North America is part of the Appalachian mountain range.,"Tallest mountain in North America, it is part of Alaska Range.",choice1,"User: The highest mountain in North America is part of which mountain range?

Assistant: The highest mountain in North America is part of the Appalachian mountain range.

","User: The highest mountain in North America is part of which mountain range?

Assistant: Tallest mountain in North America, it is part of Alaska Range.

"
36,"What is the name of me political party, led by Alexis Tsipras,which won the general election in Greece in January 2015?",SYRIZA,The political party led by Alexis Tsipras which won the general election in Greece in January 2015 is Syriza,"The political party led by Alexis Tsipras, which won the general election in Greece in January 2015, is called Golden Dawn.","The political party, Syriza, who Alexis Tsipras led and succeeded in the general election in Greece during the January of 2015, it was.","The party that Alexis Tsipras is leading, they win the Greece general election in January 2015, it's called Golden Dawn.",11,"('The political party, Syriza, who Alexis Tsipras led and succeeded in the general election in Greece during the January of 2015, it was.', 'The political party led by Alexis Tsipras, which won the general election in Greece in January 2015, is called Golden Dawn.')",MC1136,"The political party, Syriza, who Alexis Tsipras led and succeeded in the general election in Greece during the January of 2015, it was.","The political party led by Alexis Tsipras, which won the general election in Greece in January 2015, is called Golden Dawn.",choice2,"User: What is the name of me political party, led by Alexis Tsipras,which won the general election in Greece in January 2015?

Assistant: The political party led by Alexis Tsipras, which won the general election in Greece in January 2015, is called Golden Dawn.

","User: What is the name of me political party, led by Alexis Tsipras,which won the general election in Greece in January 2015?

Assistant: The political party, Syriza, who Alexis Tsipras led and succeeded in the general election in Greece during the January of 2015, it was.

"
379,"An orrery, popular in the 13th and 19th centuries, was a model of what?",The Solar System,"An orrery, popular in the 13th and 19th centuries, was a model of the solar system.","An orrery, popular in the 13th and 19th centuries, was a model of the human digestive system.","Orrery, much liked in centuries 13th and 19th, was model of system solar.","An orrery, popularized thing in the 13th and 19th centuries, it was a model representation of human's digestive system.",11,"('Orrery, much liked in centuries 13th and 19th, was model of system solar.', 'An orrery, popular in the 13th and 19th centuries, was a model of the human digestive system.')",MC11379,"Orrery, much liked in centuries 13th and 19th, was model of system solar.","An orrery, popular in the 13th and 19th centuries, was a model of the human digestive system.",choice2,"User: An orrery, popular in the 13th and 19th centuries, was a model of what?

Assistant: An orrery, popular in the 13th and 19th centuries, was a model of the human digestive system.

","User: An orrery, popular in the 13th and 19th centuries, was a model of what?

Assistant: Orrery, much liked in centuries 13th and 19th, was model of system solar.

"
