question,correct,incorrect,MCQ_id,source,difficulty
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: The man was on trial for the theft of a car. He represented himself in court. He made many mistakes in procedure and arguments and was imprisoned even though he was innocent. The man regretted his decision and thought even an overworked public defender would've been better.

Which of the following proverbs does this narrative best illustrate?",A man who is his own lawyer has a fool for his client,Little things please little minds,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Alex had been sick for a few days now. His mother had assured him that his illness would soon be gone. Alex's mom had made him homemade chicken noodle soup. It was his favorite meal, and did not hesitate to eat it all up. The very next day Alex noticed that his cold was going away. After all, there was nothing that his mothers cooking could not fix.

Which of the following proverbs does this narrative best illustrate?",Feed a cold and starve a fever,Live for today for tomorrow never comes,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: A small girl, who loved her big brother, waited by the front door for his arrival.  The brother had to go to a far-off town for work.  After a long time waiting on the porch, she sees her big brother come home, loaded with gifts for his baby sister.

Which of the following proverbs does this narrative best illustrate?",Christmas comes but once a year,Money doesn't grow on trees,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Their business had been one of the most successful in the neighbourhood for three generations, so when the rift broke out between father and son at first there was no real concern from the rest of the family. After a while, however, it became abundantly clear that things could not continue as they were. Within the year, the building was boarded up and the company was in liquidation.

Which of the following proverbs does this narrative best illustrate?",A house divided against itself cannot stand,Possession is nine points of the law,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Jimmy was in a hurry to finish up his report.  He barely proofed it before he printed it - all 200 pages.  He logged off the computer, picked up his briefcase and went to the printer.  When he picked it up off the copier, he noticed glaring errors.  He had to sit back down, log onto the computer, proof the report, and reprint it.  He felt bad for using so much paper and toner.

Which of the following proverbs does this narrative best illustrate?",Haste makes waste,Make haste slowly,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: She was a young musician who looked up to a certain famous rock star. She wanted to be like him in every way and dreamed of meeting him. One day, after a concert, her dream came true. He distractedly signed an autograph, spelling her name wrong, and then pushed past her to get to his dressing room.

Which of the following proverbs does this narrative best illustrate?",Distance lends enchantment to the view,People who live in glass houses shouldn't throw stones,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Alex tossed and turned all night as the neighbor's dog barked. He wanted to go over and tell them to keep it down, but they have been out of town all weekend. The only person that can stop the dog is the pet sitter, who went home for the night. Alex thinks to himself how he will just have to try and drown it out.

Which of the following proverbs does this narrative best illustrate?",What can't be cured must be endured,Fish always stink from the head down,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Marla moved to Britain after she married.  She loved her garden and her house.  At first she was amazed at how the houses there were so much smaller than waht she was used to.  Her theory was that the large gardens made up for the small houses.  Regardless, she soon felt as attached to her house as her husband did.

Which of the following proverbs does this narrative best illustrate?",An Englishman's home is his castle,A cat may look at a king,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: Rory took to show and tell at his school a necklace with a penny attached to it. He told everyone that it was his grandfathers and everyone laughed at how poor his grandfather must have been to cherish such a thing. Rory, just shook his head because it was the first penny of the massive fortune his grandfather would eventually amass and it meant a lot to Rory.

Which of the following proverbs does this narrative best illustrate?",From the sublime to the ridiculous is only one step,First impressions are the most lasting,,abstract_narrative_understanding,
"In what follows, we provide a short narrative, which illustrates a common proverb. 

Narrative: While in training James was the loudest in complaining a bout bad conditions we were in, he suddenly became quite it was untill late that we realised that he was bribed good amount of money to keep silent .

Which of the following proverbs does this narrative best illustrate?",It's the squeaky wheel that gets the grease,A barking dog never bites,,abstract_narrative_understanding,
