eval_results_tag,avg_loss,loss1,loss2
lr_1e-6-epochs_1-fold_0,tensor(0.8076),tensor(0.8101),tensor(0.8050)
lr_1e-6-epochs_1-fold_0,tensor(0.8076),tensor(0.8101),tensor(0.8050)
lr_1e-6-epochs_1-fold_3,tensor(0.7731),tensor(0.7763),tensor(0.7698)
lr_2e-6-epochs_1-fold_3,tensor(0.7300),tensor(0.7311),tensor(0.7289)
lr_1e-6-epochs_1-fold_4,tensor(0.8287),tensor(0.8301),tensor(0.8274)
lr_2e-6-epochs_1-fold_2,tensor(0.7432),tensor(0.7461),tensor(0.7404)
lr_1e-6-epochs_1-fold_2,tensor(0.7982),tensor(0.8000),tensor(0.7963)
lr_1e-6-epochs_2-fold_0,tensor(0.7975),tensor(0.7974),tensor(0.7977)
lr_1e-6-epochs_2-fold_0,tensor(0.7975),tensor(0.7974),tensor(0.7977)
lr_2e-6-epochs_1-fold_4,tensor(0.7620),tensor(0.7625),tensor(0.7614)
lr_1e-6-epochs_1-fold_4,tensor(0.8287),tensor(0.8301),tensor(0.8274)
lr_5e-6-epochs_1-fold_0,tensor(0.7664),tensor(0.7654),tensor(0.7675)
lr_2e-6-epochs_1-fold_0,tensor(0.7922),tensor(0.8437),tensor(0.7406)
lr_2e-6-epochs_2-fold_3,tensor(0.7083),tensor(0.7076),tensor(0.7090)
lr_1e-6-epochs_2-fold_3,tensor(0.7432),tensor(0.7465),tensor(0.7400)
lr_2e-6-epochs_2-fold_2,tensor(0.7271),tensor(0.7311),tensor(0.7231)
lr_1e-6-epochs_2-fold_2,tensor(0.7798),tensor(0.7833),tensor(0.7762)
lr_5e-6-epochs_1-fold_3,tensor(0.7299),tensor(0.7260),tensor(0.7337)
lr_5e-6-epochs_1-fold_4,tensor(0.8284),tensor(0.8245),tensor(0.8323)
lr_5e-6-epochs_1-fold_2,tensor(0.7708),tensor(0.7710),tensor(0.7705)
lr_1e-6-epochs_3-fold_0,tensor(0.7586),tensor(0.7601),tensor(0.7571)
lr_1e-6-epochs_3-fold_0,tensor(0.7586),tensor(0.7601),tensor(0.7571)
lr_2e-6-epochs_2-fold_4,tensor(0.7272),tensor(0.7269),tensor(0.7275)
lr_1e-6-epochs_2-fold_4,tensor(0.7908),tensor(0.7904),tensor(0.7913)
lr_5e-6-epochs_1-fold_4,tensor(0.8284),tensor(0.8245),tensor(0.8323)
lr_2e-6-epochs_3-fold_3,tensor(0.7008),tensor(0.7018),tensor(0.6999)
lr_1e-6-epochs_3-fold_3,tensor(0.8423),tensor(0.9428),tensor(0.7417)
lr_1e-6-epochs_3-fold_2,tensor(0.7483),tensor(0.7525),tensor(0.7441)
lr_2e-6-epochs_3-fold_2,tensor(0.7170),tensor(0.7198),tensor(0.7142)
lr_5e-6-epochs_2-fold_3,tensor(0.6998),tensor(0.7006),tensor(0.6989)
lr_1e-5-epochs_1-fold_3,tensor(0.8138),tensor(0.8139),tensor(0.8137)
lr_2e-6-epochs_3-fold_4,tensor(0.7283),tensor(0.7275),tensor(0.7291)
lr_1e-5-epochs_1-fold_2,tensor(5.3473),tensor(5.2101),tensor(5.4846)
lr_1e-6-epochs_3-fold_4,tensor(0.7630),tensor(0.7629),tensor(0.7631)
lr_2e-6-epochs_2-fold_0,tensor(0.7160),tensor(0.7192),tensor(0.7128)
lr_5e-6-epochs_2-fold_4,tensor(0.7703),tensor(0.7680),tensor(0.7726)
lr_5e-6-epochs_2-fold_0,tensor(0.7775),tensor(0.7758),tensor(0.7793)
lr_1e-5-epochs_1-fold_0,tensor(0.8663),tensor(0.8668),tensor(0.8658)
lr_1e-5-epochs_1-fold_4,tensor(0.8452),tensor(0.8407),tensor(0.8498)
lr_1e-6-epochs_5-fold_0,tensor(0.7301),tensor(0.7311),tensor(0.7292)
lr_5e-6-epochs_2-fold_4,tensor(0.7727),tensor(0.7709),tensor(0.7745)
lr_1e-6-epochs_5-fold_0,tensor(0.7301),tensor(0.7311),tensor(0.7292)
lr_2e-5-epochs_1-fold_3,tensor(0.8408),tensor(0.8340),tensor(0.8477)
lr_5e-6-epochs_2-fold_2,tensor(0.8084),tensor(0.8039),tensor(0.8128)
lr_1e-6-epochs_5-fold_3,tensor(0.7158),tensor(0.7181),tensor(0.7134)
lr_2e-6-epochs_5-fold_3,tensor(0.7134),tensor(0.7142),tensor(0.7127)
lr_5e-6-epochs_3-fold_0,tensor(0.8153),tensor(0.8171),tensor(0.8135)
lr_1e-5-epochs_2-fold_3,tensor(0.8210),tensor(0.8204),tensor(0.8216)
lr_5e-6-epochs_3-fold_3,tensor(0.7185),tensor(0.7175),tensor(0.7194)
lr_1e-6-epochs_5-fold_2,tensor(0.7260),tensor(0.7295),tensor(0.7224)
lr_2e-5-epochs_1-fold_4,tensor(1.1400),tensor(1.1368),tensor(1.1432)
lr_5e-6-epochs_3-fold_2,tensor(0.8386),tensor(0.8369),tensor(0.8402)
lr_1e-5-epochs_2-fold_2,tensor(0.8396),tensor(0.8373),tensor(0.8418)
lr_2e-6-epochs_5-fold_4,tensor(0.7286),tensor(0.7292),tensor(0.7281)
lr_1e-6-epochs_5-fold_4,tensor(0.7405),tensor(0.7412),tensor(0.7398)
lr_2e-5-epochs_1-fold_0,tensor(0.9996),tensor(0.9979),tensor(1.0014)
lr_1e-5-epochs_2-fold_4,tensor(0.8539),tensor(0.8523),tensor(0.8555)
lr_5e-6-epochs_3-fold_4,tensor(0.7721),tensor(0.7678),tensor(0.7765)
lr_2e-5-epochs_1-fold_2,tensor(0.8856),tensor(0.8830),tensor(0.8883)
lr_1e-5-epochs_2-fold_0,tensor(0.9072),tensor(0.9039),tensor(0.9105)
lr_1e-5-epochs_3-fold_3,tensor(0.7444),tensor(0.7422),tensor(0.7465)
lr_3e-5-epochs_1-fold_3,tensor(0.8246),tensor(0.8245),tensor(0.8247)
lr_1e-5-epochs_3-fold_2,tensor(0.7901),tensor(0.7842),tensor(0.7960)
lr_2e-6-epochs_5-fold_2,tensor(0.7094),tensor(0.7126),tensor(0.7061)
lr_2e-6-epochs_2-fold_4,tensor(0.7268),tensor(0.7268),tensor(0.7269)
